,created_at,favorite_count,full_text,hashtags,id,id_str,lang,media,retweet_count,source,urls,user,user_mentions,quoted_status,quoted_status_id,quoted_status_id_str,handle,date_time,date,date_week,clean_tweet,break_tweet,raw_polarity,raw_subjectivity,clean_polarity,clean_subjectivity
2,Sun Sep 15 00:08:34 +0000 2019,574,"Canadians already know Justin Trudeau backed down to Donald Trump on NAFTA.
 
Now we know that Trudeau sold them out at the express wishes of Donald Trump’s billionaire friends. (1/4) https://t.co/TDJBNlynRP",[],1173025778625384454,1173025778625384454,en,,252,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","[{'expanded_url': 'https://twitter.com/RobertFife/status/1172674579522891776', 'url': 'https://t.co/TDJBNlynRP'}]","{'id': 256360738, 'id_str': '256360738'}",[],"{'created_at': 'Sat Sep 14 00:53:01 +0000 2019', 'favorite_count': 174, 'full_text': 'Blackstone CEO says he advised Trudeau to make dairy concession to reach USMCA deal - The Globe and Mail #cdnpoli #USMCA #Elexn43  https://t.co/sfl7XcvCkC', 'hashtags': [{'text': 'cdnpoli'}, {'text': 'USMCA'}, {'text': 'Elexn43'}], 'id': 1172674579522891776, 'id_str': '1172674579522891776', 'lang': 'en', 'retweet_count': 176, 'source': '<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>', 'urls': [{'expanded_url': 'https://www.theglobeandmail.com/politics/article-blackstone-ceo-says-he-advised-trudeau-to-make-dairy-concession-to/', 'url': 'https://t.co/sfl7XcvCkC'}], 'user': {'id': 197554405, 'id_str': '197554405'}, 'user_mentions': []}",1.1726745795228918e+18,1172674579522891776,AndrewScheer,2019-09-15 00:08:34+00:00,2019-09-15,2019-09-09,canadian already know justin trudeau back donald trump naftum know trudeau sell expres wish donald trump ’ billionaire friend 1/4 http t.co/tdjbnlynrp,"Canadians already know Justin Trudeau backed down to Donald <br>Trump on NAFTA.
 
Now we know that Trudeau sold them out at <br>the express wishes of Donald Trump’s billionaire friends. (1<br>/4) https://t.co/TDJBNlynR<br>",-0.15555555555555559,0.2888888888888889,0.0,0.0
4,Sat Sep 14 22:42:54 +0000 2019,804,"As Prime Minister, I will scrap the carbon tax and leave more money in you and your family’s pockets. https://t.co/gNaeQLk5Q1",[],1173004219995045888,1173004219995045888,en,"[{'display_url': 'pic.twitter.com/gNaeQLk5Q1', 'expanded_url': 'https://twitter.com/AndrewScheer/status/1173004219995045888/photo/1', 'id': 1173004113212297217, 'media_url': 'http://pbs.twimg.com/media/EEdZBrAXUAE-_w-.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EEdZBrAXUAE-_w-.jpg', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 680, 'h': 383, 'resize': 'fit'}, 'large': {'w': 1600, 'h': 900, 'resize': 'fit'}, 'medium': {'w': 1200, 'h': 675, 'resize': 'fit'}}, 'type': 'photo', 'url': 'https://t.co/gNaeQLk5Q1'}]",257,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",[],"{'id': 256360738, 'id_str': '256360738'}",[],,,,AndrewScheer,2019-09-14 22:42:54+00:00,2019-09-14,2019-09-09,prime minister scrap carbon tax leave money ymy family ’ pocket http t.co/gnaeqlk5q1,"As Prime Minister, I will scrap the carbon tax and leave mor<br>e money in you and your family’s pockets. https://t.co/gNaeQ<br>Lk5Q<br>",0.5,0.5,0.0,0.0
6,Sat Sep 14 21:19:27 +0000 2019,898,"Family time looks a little different for us these days. After a great few days launching our campaign to help Canadians get ahead, the kids were able to join Jill and me on the trail today! https://t.co/6j9VVXadMq",[],1172983222680113152,1172983222680113152,en,"[{'display_url': 'pic.twitter.com/6j9VVXadMq', 'expanded_url': 'https://twitter.com/AndrewScheer/status/1172983222680113152/photo/1', 'id': 1172983200211189760, 'media_url': 'http://pbs.twimg.com/media/EEdGAYAWwAALR9f.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EEdGAYAWwAALR9f.jpg', 'sizes': {'large': {'w': 1797, 'h': 1197, 'resize': 'fit'}, 'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'medium': {'w': 1200, 'h': 799, 'resize': 'fit'}, 'small': {'w': 680, 'h': 453, 'resize': 'fit'}}, 'type': 'photo', 'url': 'https://t.co/6j9VVXadMq'}]",166,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",[],"{'id': 256360738, 'id_str': '256360738'}",[],,,,AndrewScheer,2019-09-14 21:19:27+00:00,2019-09-14,2019-09-09,family time look little different u day great day launch campaign help canadian get ahead kid able join jill trail today http t.co/6j9vvxadmq,"Family time looks a little different for us these days. Afte<br>r a great few days launching our campaign to help Canadians <br>get ahead, the kids were able to join Jill and me on the tra<br>il today! https://t.co/6j9VVXadM<br>",0.20750000000000002,0.515,0.278125,0.61875
8,Sat Sep 14 18:31:24 +0000 2019,512,Still thinking of everyone on PEI and in Nova Scotia without power a week after Hurricane Dorian hit. Thankful for the efforts of first responders and everyone on the ground working to help their neighbours. #PEI #NSstorm #Dorian,"[{'text': 'PEI'}, {'text': 'NSstorm'}, {'text': 'Dorian'}]",1172940928228691970,1172940928228691970,en,,121,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",[],"{'id': 256360738, 'id_str': '256360738'}",[],,,,AndrewScheer,2019-09-14 18:31:24+00:00,2019-09-14,2019-09-09,still think everyone pei nova scotium without power week hurricane dorian hit thankful effort first responder everyone ground work help neighbour pei nsstorm dorian,Still thinking of everyone on PEI and in Nova Scotia without<br> power a week after Hurricane Dorian hit. Thankful for the e<br>fforts of first responders and everyone on the ground workin<br>g to help their neighbours. #PEI #NSstorm #Doria<br>,0.25,0.3333333333333333,0.25,0.3333333333333333
10,Sat Sep 14 02:49:01 +0000 2019,543,.@ArpanKhanna and I held a rally and spoke with people in Brampton today. Wherever I go I keep hearing that Justin Trudeau has made everyday essentials more expensive. I have a plan to make life more affordable for you and your family. https://t.co/OBHFL8zmYm,[],1172703770410659845,1172703770410659845,en,"[{'display_url': 'pic.twitter.com/OBHFL8zmYm', 'expanded_url': 'https://twitter.com/AndrewScheer/status/1172703770410659845/photo/1', 'id': 1172703424418390016, 'media_url': 'http://pbs.twimg.com/media/EEZHjR9XoAAtgXq.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EEZHjR9XoAAtgXq.jpg', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'medium': {'w': 1200, 'h': 800, 'resize': 'fit'}, 'large': {'w': 2048, 'h': 1365, 'resize': 'fit'}, 'small': {'w': 680, 'h': 453, 'resize': 'fit'}}, 'type': 'photo', 'url': 'https://t.co/OBHFL8zmYm'}, {'display_url': 'pic.twitter.com/OBHFL8zmYm', 'expanded_url': 'https://twitter.com/AndrewScheer/status/1172703770410659845/photo/1', 'id': 1172703424418340869, 'media_url': 'http://pbs.twimg.com/media/EEZHjR9W4AUz0bf.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EEZHjR9W4AUz0bf.jpg', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'medium': {'w': 1200, 'h': 800, 'resize': 'fit'}, 'small': {'w': 680, 'h': 453, 'resize': 'fit'}, 'large': {'w': 1762, 'h': 1174, 'resize': 'fit'}}, 'type': 'photo', 'url': 'https://t.co/OBHFL8zmYm'}, {'display_url': 'pic.twitter.com/OBHFL8zmYm', 'expanded_url': 'https://twitter.com/AndrewScheer/status/1172703770410659845/photo/1', 'id': 1172703424430915585, 'media_url': 'http://pbs.twimg.com/media/EEZHjSAWwAEwwvS.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EEZHjSAWwAEwwvS.jpg', 'sizes': {'small': {'w': 680, 'h': 452, 'resize': 'fit'}, 'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'medium': {'w': 1200, 'h': 798, 'resize': 'fit'}, 'large': {'w': 1670, 'h': 1111, 'resize': 'fit'}}, 'type': 'photo', 'url': 'https://t.co/OBHFL8zmYm'}]",120,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",[],"{'id': 256360738, 'id_str': '256360738'}","[{'id': 45896095, 'id_str': '45896095', 'name': 'Arpan Khanna', 'screen_name': 'ArpanKhanna'}]",,,,AndrewScheer,2019-09-14 02:49:01+00:00,2019-09-14,2019-09-09,arpankhanna hold rally spoke person brampton today wherever go keep hearing justin trudeau ha make everyday essential expensive plan make life affordable ymy family http t.co/obhfl8zmym,.@ArpanKhanna and I held a rally and spoke with people in Br<br>ampton today. Wherever I go I keep hearing that Justin Trude<br>au has made everyday essentials more expensive. I have a pla<br>n to make life more affordable for you and your family. http<br>s://t.co/OBHFL8zmY<br>,0.075,0.575,-0.2333333333333333,0.5333333333333333
12,Sat Sep 14 01:21:20 +0000 2019,1133,"Save money on your transit pass. The Green Public Transit Tax Credit will provide much-needed relief for transit users, commuters, and families across the country. https://t.co/4gV25SKdWQ",[],1172681705481785344,1172681705481785344,en,"[{'display_url': 'pic.twitter.com/4gV25SKdWQ', 'expanded_url': 'https://twitter.com/AndrewScheer/status/1172681705481785344/video/1', 'id': 1172648846608019456, 'media_url': 'http://pbs.twimg.com/media/EEYqe1mXoAEnXaM.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EEYqe1mXoAEnXaM.jpg', 'sizes': {'small': {'w': 680, 'h': 453, 'resize': 'fit'}, 'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 2048, 'h': 1365, 'resize': 'fit'}, 'medium': {'w': 1200, 'h': 800, 'resize': 'fit'}}, 'type': 'video', 'url': 'https://t.co/4gV25SKdWQ', 'video_info': {'aspect_ratio': [16, 9], 'duration_millis': 36333, 'variants': [{'bitrate': 288000, 'content_type': 'video/mp4', 'url': 'https://video.twimg.com/amplify_video/1172648846608019456/vid/480x270/4n-GrNn3b4_mhHO4.mp4?tag=13'}, {'bitrate': 2176000, 'content_type': 'video/mp4', 'url': 'https://video.twimg.com/amplify_video/1172648846608019456/vid/1280x720/IeqDCHMiWPBkDAzz.mp4?tag=13'}, {'bitrate': 832000, 'content_type': 'video/mp4', 'url': 'https://video.twimg.com/amplify_video/1172648846608019456/vid/640x360/88lph-ODvDuNOaWN.mp4?tag=13'}, {'content_type': 'application/x-mpegURL', 'url': 'https://video.twimg.com/amplify_video/1172648846608019456/pl/OMS-GZsuyNBwNtwJ.m3u8?tag=13'}]}}]",352,"<a href=""https://studio.twitter.com"" rel=""nofollow"">Twitter Media Studio</a>",[],"{'id': 256360738, 'id_str': '256360738'}",[],,,,AndrewScheer,2019-09-14 01:21:20+00:00,2019-09-14,2019-09-09,save money ymy transit pa green public transit tax credit provide much-needed relief transit user commuter family acros country http t.co/4gv25skdwq,"Save money on your transit pass. The Green Public Transit Ta<br>x Credit will provide much-needed relief for transit users, <br>commuters, and families across the country. https://t.co/4gV<br>25SKdW<br>",-0.1,0.18333333333333332,-0.1,0.18333333333333332
14,Fri Sep 13 22:34:18 +0000 2019,562,It’s time for YOU to get ahead. Our Conservative team has a plan to put more money in your pockets. Speaking in Brampton. WATCH LIVE: https://t.co/5LOCh8y0Bn,[],1172639669357600768,1172639669357600768,en,,137,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","[{'expanded_url': 'https://www.facebook.com/AndrewScheerMP/videos/366534857620920/', 'url': 'https://t.co/5LOCh8y0Bn'}]","{'id': 256360738, 'id_str': '256360738'}",[],,,,AndrewScheer,2019-09-13 22:34:18+00:00,2019-09-13,2019-09-09,’ time get ahead conservative team ha plan put money ymy pocket speak brampton watch live http t.co/5loch8y0bn,It’s time for YOU to get ahead. Our Conservative team has a <br>plan to put more money in your pockets. Speaking in Brampton<br>. WATCH LIVE: https://t.co/5LOCh8y0B<br>,0.3181818181818182,0.5,0.13636363636363635,0.5
16,Fri Sep 13 20:08:38 +0000 2019,166,Dropped by the campaign office to see team @VoteBarry4EL. #VictoryIsKnocking in this community! It’s time for you to get ahead. https://t.co/tvMspakvnh,[{'text': 'VictoryIsKnocking'}],1172603012075970561,1172603012075970561,en,"[{'display_url': 'pic.twitter.com/tvMspakvnh', 'expanded_url': 'https://twitter.com/AndrewScheer/status/1172603012075970561/photo/1', 'id': 1172602942899273728, 'media_url': 'http://pbs.twimg.com/media/EEXsKfIWwAAM_vX.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EEXsKfIWwAAM_vX.jpg', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 680, 'h': 453, 'resize': 'fit'}, 'medium': {'w': 1200, 'h': 800, 'resize': 'fit'}, 'large': {'w': 1485, 'h': 990, 'resize': 'fit'}}, 'type': 'photo', 'url': 'https://t.co/tvMspakvnh'}]",60,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",[],"{'id': 256360738, 'id_str': '256360738'}","[{'id': 1045333685648674818, 'id_str': '1045333685648674818', 'name': ""Barry O'Brien"", 'screen_name': 'VoteBarry4EL'}]",,,,AndrewScheer,2019-09-13 20:08:38+00:00,2019-09-13,2019-09-09,drop campaign office see team votebarry4el victoryisknocking thi community ’ time get ahead http t.co/tvmspakvnh,Dropped by the campaign office to see team @VoteBarry4EL. #V<br>ictoryIsKnocking in this community! It’s time for you to get<br> ahead. https://t.co/tvMspakvn<br>,0.0,0.0,0.0,0.0
18,Fri Sep 13 19:10:22 +0000 2019,2648,"Extremely concerning that a senior RCMP intelligence officer has been arrested for leaking national security information. This is another reminder of the threats we face from foreign actors. As Prime Minister, I will not hesitate to identify these threats and act accordingly.",[],1172588349774868481,1172588349774868481,en,,755,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",[],"{'id': 256360738, 'id_str': '256360738'}",[],,,,AndrewScheer,2019-09-13 19:10:22+00:00,2019-09-13,2019-09-09,extremely concern senior rcmp intelligence officer ha arrest leaking national security information thi another reminder threat face foreign actor prime minister hesitate identify threat act accordingly,"Extremely concerning that a senior RCMP intelligence officer<br> has been arrested for leaking national security information<br>. This is another reminder of the threats we face from forei<br>gn actors. As Prime Minister, I will not hesitate to identif<br>y these threats and act accordingly<br>",-0.125,0.5625,-0.09999999999999999,0.375
20,Fri Sep 13 18:27:05 +0000 2019,332,Stopped by the Crooked Cue for a bite in Etobicoke. https://t.co/sOSalyTpqI,[],1172577454722027520,1172577454722027520,en,"[{'display_url': 'pic.twitter.com/sOSalyTpqI', 'expanded_url': 'https://twitter.com/AndrewScheer/status/1172577454722027520/photo/1', 'id': 1172577420127416322, 'media_url': 'http://pbs.twimg.com/media/EEXU83ZWsAIDAZE.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EEXU83ZWsAIDAZE.jpg', 'sizes': {'medium': {'w': 1200, 'h': 800, 'resize': 'fit'}, 'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 680, 'h': 453, 'resize': 'fit'}, 'large': {'w': 2048, 'h': 1365, 'resize': 'fit'}}, 'type': 'photo', 'url': 'https://t.co/sOSalyTpqI'}, {'display_url': 'pic.twitter.com/sOSalyTpqI', 'expanded_url': 'https://twitter.com/AndrewScheer/status/1172577454722027520/photo/1', 'id': 1172577420135862273, 'media_url': 'http://pbs.twimg.com/media/EEXU83bXkAEQ2b_.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EEXU83bXkAEQ2b_.jpg', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 2048, 'h': 1365, 'resize': 'fit'}, 'small': {'w': 680, 'h': 453, 'resize': 'fit'}, 'medium': {'w': 1200, 'h': 800, 'resize': 'fit'}}, 'type': 'photo', 'url': 'https://t.co/sOSalyTpqI'}, {'display_url': 'pic.twitter.com/sOSalyTpqI', 'expanded_url': 'https://twitter.com/AndrewScheer/status/1172577454722027520/photo/1', 'id': 1172577420127473664, 'media_url': 'http://pbs.twimg.com/media/EEXU83ZXkAAiWuW.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EEXU83ZXkAAiWuW.jpg', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 680, 'h': 453, 'resize': 'fit'}, 'medium': {'w': 1200, 'h': 800, 'resize': 'fit'}, 'large': {'w': 2048, 'h': 1365, 'resize': 'fit'}}, 'type': 'photo', 'url': 'https://t.co/sOSalyTpqI'}]",46,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",[],"{'id': 256360738, 'id_str': '256360738'}",[],,,,AndrewScheer,2019-09-13 18:27:05+00:00,2019-09-13,2019-09-09,stop crook cue bite etobicoke http t.co/sosalytpqi,Stopped by the Crooked Cue for a bite in Etobicoke. https://<br>t.co/sOSalyTpq<br>,0.0,0.1,0.0,0.0
23,Fri Sep 13 17:02:00 +0000 2019,530,"For so many, public transit is the only way to get from A to B, and it can cost a lot. As Prime Minister, I will introduce the Green Public Transit Tax Credit to provide much-needed relief for transit users, commuters, and families in Canada. https://t.co/gyUykL7Gzj",[],1172556042724507649,1172556042724507649,en,"[{'display_url': 'pic.twitter.com/gyUykL7Gzj', 'expanded_url': 'https://twitter.com/AndrewScheer/status/1172556042724507649/photo/1', 'id': 1172521374356791296, 'media_url': 'http://pbs.twimg.com/media/EEWh-koW4AAsVkd.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EEWh-koW4AAsVkd.jpg', 'sizes': {'large': {'w': 1920, 'h': 1080, 'resize': 'fit'}, 'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'medium': {'w': 1200, 'h': 675, 'resize': 'fit'}, 'small': {'w': 680, 'h': 383, 'resize': 'fit'}}, 'type': 'photo', 'url': 'https://t.co/gyUykL7Gzj'}]",138,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",[],"{'id': 256360738, 'id_str': '256360738'}",[],,,,AndrewScheer,2019-09-13 17:02:00+00:00,2019-09-13,2019-09-09,many public transit way get b cost lot prime minister introduce green public transit tax credit provide much-needed relief transit user commuter family canada http t.co/gyuykl7gzj,"For so many, public transit is the only way to get from A to<br> B, and it can cost a lot. As Prime Minister, I will introdu<br>ce the Green Public Transit Tax Credit to provide much-neede<br>d relief for transit users, commuters, and families in Canad<br>a. https://t.co/gyUykL7Gz<br>",0.06,0.38666666666666666,0.075,0.23333333333333334
24,Fri Sep 13 15:32:00 +0000 2019,393,"Today in Mississauga I revealed our Green Public Transit Tax Credit to put more money in the pocket of our transit users and commuters. We want you to be able to get home on time, without worrying about your bottom line. https://t.co/o8jFpuT1t2",[],1172533393059438593,1172533393059438593,en,"[{'display_url': 'pic.twitter.com/o8jFpuT1t2', 'expanded_url': 'https://twitter.com/AndrewScheer/status/1172533393059438593/photo/1', 'id': 1172533152675500032, 'media_url': 'http://pbs.twimg.com/media/EEWssKSXkAALhWn.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EEWssKSXkAALhWn.jpg', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'medium': {'w': 1200, 'h': 800, 'resize': 'fit'}, 'large': {'w': 2048, 'h': 1365, 'resize': 'fit'}, 'small': {'w': 680, 'h': 453, 'resize': 'fit'}}, 'type': 'photo', 'url': 'https://t.co/o8jFpuT1t2'}, {'display_url': 'pic.twitter.com/o8jFpuT1t2', 'expanded_url': 'https://twitter.com/AndrewScheer/status/1172533393059438593/photo/1', 'id': 1172533152688091136, 'media_url': 'http://pbs.twimg.com/media/EEWssKVXsAAXGJ6.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EEWssKVXsAAXGJ6.jpg', 'sizes': {'small': {'w': 680, 'h': 453, 'resize': 'fit'}, 'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 2048, 'h': 1365, 'resize': 'fit'}, 'medium': {'w': 1200, 'h': 800, 'resize': 'fit'}}, 'type': 'photo', 'url': 'https://t.co/o8jFpuT1t2'}]",120,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",[],"{'id': 256360738, 'id_str': '256360738'}",[],,,,AndrewScheer,2019-09-13 15:32:00+00:00,2019-09-13,2019-09-09,today mississauga reveal green public transit tax credit put money pocket transit user commuter want able get home time without worry ymy bottom line http t.co/o8jfput1t2,"Today in Mississauga I revealed our Green Public Transit Tax<br> Credit to put more money in the pocket of our transit users<br> and commuters. We want you to be able to get home on time, <br>without worrying about your bottom line. https://t.co/o8jFpu<br>T1t<br>",0.2,0.3729166666666667,0.09999999999999999,0.33055555555555555
26,Fri Sep 13 15:02:59 +0000 2019,2645,This election will come down to one simple question: Who do you trust to help you get ahead? I just finished tonight’s leaders debate and Justin Trudeau didn’t even bother showing up. https://t.co/hlnCCiopzT,[],1172526090163818496,1172526090163818496,en,"[{'display_url': 'pic.twitter.com/hlnCCiopzT', 'expanded_url': 'https://twitter.com/AndrewScheer/status/1172526090163818496/video/1', 'id': 1172517488426459136, 'media_url': 'http://pbs.twimg.com/media/EEWidn8XYAUmsb0.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EEWidn8XYAUmsb0.jpg', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'medium': {'w': 1200, 'h': 675, 'resize': 'fit'}, 'small': {'w': 680, 'h': 382, 'resize': 'fit'}, 'large': {'w': 1485, 'h': 835, 'resize': 'fit'}}, 'type': 'video', 'url': 'https://t.co/hlnCCiopzT', 'video_info': {'aspect_ratio': [16, 9], 'duration_millis': 92993, 'variants': [{'bitrate': 288000, 'content_type': 'video/mp4', 'url': 'https://video.twimg.com/amplify_video/1172517488426459136/vid/480x270/cZ2oW8hs8c2QPnp6.mp4?tag=13'}, {'bitrate': 2176000, 'content_type': 'video/mp4', 'url': 'https://video.twimg.com/amplify_video/1172517488426459136/vid/1280x720/9ZBdlaOW1CGe1O3H.mp4?tag=13'}, {'bitrate': 832000, 'content_type': 'video/mp4', 'url': 'https://video.twimg.com/amplify_video/1172517488426459136/vid/640x360/s9MXH2U5Zb7VLFwu.mp4?tag=13'}, {'content_type': 'application/x-mpegURL', 'url': 'https://video.twimg.com/amplify_video/1172517488426459136/pl/ohbuMyzjIbT9oSdG.m3u8?tag=13'}]}}]",832,"<a href=""https://studio.twitter.com"" rel=""nofollow"">Twitter Media Studio</a>",[],"{'id': 256360738, 'id_str': '256360738'}",[],,,,AndrewScheer,2019-09-13 15:02:59+00:00,2019-09-13,2019-09-09,thi election come one simple question trust help get ahead finish tonight ’ leader debate justin trudeau ’ even bother show http t.co/hlncciopzt,This election will come down to one simple question: Who do <br>you trust to help you get ahead? I just finished tonight’s l<br>eaders debate and Justin Trudeau didn’t even bother showing <br>up. https://t.co/hlnCCiopz<br>,-0.07777777777777779,0.32301587301587303,0.0,0.35714285714285715
28,Fri Sep 13 14:13:52 +0000 2019,589,"Putting more money in your pocket. Today, I’m revealing our new Green Public Transit Credit to help you get ahead. WATCH LIVE: https://t.co/7ThC510xIa",[],1172513730078396422,1172513730078396422,en,,168,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","[{'expanded_url': 'https://www.facebook.com/AndrewScheerMP/videos/2789893127697012/', 'url': 'https://t.co/7ThC510xIa'}]","{'id': 256360738, 'id_str': '256360738'}",[],,,,AndrewScheer,2019-09-13 14:13:52+00:00,2019-09-13,2019-09-09,put money ymy pocket today ’ reveal new green public transit credit help get ahead watch live http t.co/7thc510xium,"Putting more money in your pocket. Today, I’m revealing our <br>new Green Public Transit Credit to help you get ahead. WATCH<br> LIVE: https://t.co/7ThC510xI<br>",0.11454545454545455,0.36424242424242426,0.018181818181818174,0.3303030303030303
30,Fri Sep 13 13:36:16 +0000 2019,92,"Tonight, we join Canadians of Chinese, Korean, Japanese and Vietnamese descent as they prepare to celebrate the Mid-Autumn Festival. Sending my best wishes to all those celebrating! My statement: https://t.co/Mffhg6cwzD https://t.co/0mWmjUFria",[],1172504269896998912,1172504269896998912,en,"[{'display_url': 'pic.twitter.com/0mWmjUFria', 'expanded_url': 'https://twitter.com/AndrewScheer/status/1172504269896998912/photo/1', 'id': 1172504246656393218, 'media_url': 'http://pbs.twimg.com/media/EEWSZm-XYAIeTY7.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EEWSZm-XYAIeTY7.jpg', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 680, 'h': 383, 'resize': 'fit'}, 'medium': {'w': 1200, 'h': 675, 'resize': 'fit'}, 'large': {'w': 1600, 'h': 900, 'resize': 'fit'}}, 'type': 'photo', 'url': 'https://t.co/0mWmjUFria'}]",28,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","[{'expanded_url': 'https://www.facebook.com/AndrewScheerMP/posts/2921804591186607', 'url': 'https://t.co/Mffhg6cwzD'}]","{'id': 256360738, 'id_str': '256360738'}",[],,,,AndrewScheer,2019-09-13 13:36:16+00:00,2019-09-13,2019-09-09,tonight join canadian chinese korean japanese vietnamese descent prepare celebrate mid-autumn festival send best wish celebrating statement http t.co/mffhg6cwzd http t.co/0mwmjufrium,"Tonight, we join Canadians of Chinese, Korean, Japanese and <br>Vietnamese descent as they prepare to celebrate the Mid-Autu<br>mn Festival. Sending my best wishes to all those celebrating<br>! My statement: https://t.co/Mffhg6cwzD https://t.co/0mWmjUF<br>ri<br>",0.3333333333333333,0.09999999999999999,0.3333333333333333,0.09999999999999999
32,Fri Sep 13 13:17:08 +0000 2019,129,"On behalf of Canada’s Conservatives, I wish all Koreans and their families a happy Chuseok! My statement: https://t.co/QZnMjo6GSK https://t.co/ZnmHKNhaK5",[],1172499452877295616,1172499452877295616,en,"[{'display_url': 'pic.twitter.com/ZnmHKNhaK5', 'expanded_url': 'https://twitter.com/AndrewScheer/status/1172499452877295616/photo/1', 'id': 1172499413895438339, 'media_url': 'http://pbs.twimg.com/media/EEWOATiXYAMTptE.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EEWOATiXYAMTptE.jpg', 'sizes': {'medium': {'w': 800, 'h': 450, 'resize': 'fit'}, 'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 800, 'h': 450, 'resize': 'fit'}, 'small': {'w': 680, 'h': 383, 'resize': 'fit'}}, 'type': 'photo', 'url': 'https://t.co/ZnmHKNhaK5'}]",27,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","[{'expanded_url': 'https://www.facebook.com/AndrewScheerMP/posts/2922456894454710', 'url': 'https://t.co/QZnMjo6GSK'}]","{'id': 256360738, 'id_str': '256360738'}",[],,,,AndrewScheer,2019-09-13 13:17:08+00:00,2019-09-13,2019-09-09,behalf canada ’ conservative wish korean family happy chuseok statement http t.co/qznmjo6gsk http t.co/znmhknhak5,"On behalf of Canada’s Conservatives, I wish all Koreans and <br>their families a happy Chuseok! My statement: https://t.co/Q<br>ZnMjo6GSK https://t.co/ZnmHKNhaK<br>",1.0,1.0,0.8,1.0
